TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# hipe2022:original_source = data/preparation/corpus/en/retokenized/cu31924087948174_0014.xmi
# hipe2022:license = CC-BY
# hipe2022:language = en
# hipe2022:document_type = commentary
# hipe2022:document_id = cu31924087948174_0014
# hipe2022:date = 1881-01-01
# hipe2022:dataset = ajmc
# hipe2022:applicable_columns = TOKEN NE-COARSE-LIT NE-FINE-LIT NE-NESTED NEL-LIT MISC
# ajmc:version = v0.2
# ajmc:title = Sophocles
# ajmc:publication_place = Oxford
# ajmc:publication_date = 1881
# ajmc:page = 14
# ajmc:author = Campbell, Lewis
in	O	_	O	_	_	O	_	_	_
editing	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
Fragments	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
I	O	_	O	_	_	O	_	_	_
have	O	_	O	_	_	O	_	_	_
availed	O	_	O	_	_	O	_	_	_
myself	O	_	O	_	_	O	_	_	_
of	O	_	O	_	_	O	_	_	_
Mr	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
R	B-pers	_	B-pers.author	_	_	O	Q7344037	_	NoSpaceAfter|LED0.00
.	I-pers	_	I-pers.author	_	_	O	Q7344037	_	LED0.00
Ellis	I-pers	_	I-pers.author	_	_	O	Q7344037	_	NoSpaceAfter|LED0.00
’	O	_	O	_	_	O	_	_	_
acute	O	_	O	_	_	O	_	_	_
remarks	O	_	O	_	_	O	_	_	_
on	O	_	O	_	_	O	_	_	_
them	O	_	O	_	_	O	_	_	_
in	O	_	O	_	_	O	_	_	_
the	B-work	_	B-work.journal	_	_	O	_	_	InSecondaryReference|LED0.00
Cambridge	I-work	_	I-work.journal	_	_	O	_	_	InSecondaryReference|LED0.00
Journal	I-work	_	I-work.journal	_	_	O	_	_	InSecondaryReference|LED0.00
of	I-work	_	I-work.journal	_	_	O	_	_	InSecondaryReference|LED0.00
Philology	I-work	_	I-work.journal	_	_	O	_	_	InSecondaryReference|NoSpaceAfter|LED0.00
,	O	_	O	_	_	O	_	_	InSecondaryReference
Vol	B-scope	_	B-scope	_	_	O	_	_	InSecondaryReference|NoSpaceAfter|LED0.00
.	I-scope	_	I-scope	_	_	O	_	_	InSecondaryReference|LED0.00
IV	I-scope	_	I-scope	_	_	O	_	_	InSecondaryReference|NoSpaceAfter|LED0.00
,	O	_	O	_	_	O	_	_	_
and	O	_	O	_	_	O	_	_	_
that	O	_	O	_	_	O	_	_	_
I	O	_	O	_	_	O	_	_	_
am	O	_	O	_	_	O	_	_	_
largely	O	_	O	_	_	O	_	_	_
indebted	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
as	O	_	O	_	_	O	_	_	_
every	O	_	O	_	_	O	_	_	_
editor	O	_	O	_	_	O	_	_	_
must	O	_	O	_	_	O	_	_	_
now	O	_	O	_	_	O	_	_	_
be	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
to	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
edition	O	_	O	_	_	O	_	_	_
of	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
Tragic	O	_	O	_	_	O	_	_	_
Fragments	O	_	O	_	_	O	_	_	_
by	O	_	O	_	_	O	_	_	_
A	B-pers	_	B-pers.editor	_	_	O	_	_	InSecondaryReference|NoSpaceAfter|LED0.00
.	I-pers	_	I-pers.editor	_	_	O	_	_	InSecondaryReference|LED0.00
Nauck	I-pers	_	I-pers.editor	_	_	O	_	_	InSecondaryReference|NoSpaceAfter|LED0.00
,	O	_	O	_	_	O	_	_	InSecondaryReference
Leipzig	B-loc	_	B-loc	_	_	O	_	_	InSecondaryReference|NoSpaceAfter|LED0.00
,	O	_	O	_	_	O	_	_	InSecondaryReference
1856	B-date	_	B-date	_	_	O	_	_	InSecondaryReference|NoSpaceAfter|LED0.00
.	O	_	O	_	_	O	_	_	EndOfSentence
I	O	_	O	_	_	O	_	_	_
had	O	_	O	_	_	O	_	_	_
once	O	_	O	_	_	O	_	_	_
hoped	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
as	O	_	O	_	_	O	_	_	_
indicated	O	_	O	_	_	O	_	_	_
in	O	_	O	_	_	O	_	_	_
a	O	_	O	_	_	O	_	_	_
former	O	_	O	_	_	O	_	_	_
writing	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
to	O	_	O	_	_	O	_	_	_
give	O	_	O	_	_	O	_	_	_
here	O	_	O	_	_	O	_	_	_
some	O	_	O	_	_	O	_	_	_
general	O	_	O	_	_	O	_	_	_
account	O	_	O	_	_	O	_	_	_
of	O	_	O	_	_	O	_	_	_
previous	O	_	O	_	_	O	_	_	_
editions	O	_	O	_	_	O	_	_	_
of	O	_	O	_	_	O	_	_	_
Sophocles	B-pers	_	B-pers.author	_	_	O	Q7235	_	NoSpaceAfter|LED0.00
.	O	_	O	_	_	O	_	_	EndOfSentence
Further	O	_	O	_	_	O	_	_	_
